Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
133,Jason Snelling,ATL,RB,27,14,0,0,0,0,0,0,87,324,3.72,2,51,44,303,6.89,3,2,,5,,,93,136.7,142.7,114.7,,41,
134,Dez Bryant,DAL,WR,22,12,2,0,0,0,0,0,1,0,0,0,73,45,561,12.47,6,2,1,8,,,92,147.1,151.1,124.6,,48,
135,Rashad Jennings,JAX,RB,25,13,3,0,0,0,0,0,84,459,5.46,4,35,26,223,8.58,0,0,,4,,,92,118.2,124.2,105.2,,42,
136,Kevin Walter,HOU,WR,29,16,16,0,0,0,0,0,0,0,,0,80,51,621,12.18,5,0,,5,,,92,143.1,146.1,117.6,,47,
137,Darren Sproles,SDG,RB,27,16,3,0,0,0,0,0,50,267,5.34,0,75,59,520,8.81,2,3,4,2,,,91,141.7,151.7,112.2,,43,
138,Justin Forsett,SEA,RB,25,16,5,0,0,0,0,0,118,523,4.43,2,51,33,252,7.64,0,0,,2,,,90,122.5,128.5,106,,44,
139,Todd Heap,BAL,TE,30,13,13,0,0,0,0,0,0,0,,0,64,40,599,14.98,5,1,,5,,,90,129.9,132.9,109.9,,14,
140,Colt McCoy,CLE,QB,24,8,8,135,222,1576,6,9,28,136,4.86,1,1,1,13,13,0,1,,1,,,90,90.9,105.9,99.4,,34,
141,Jacoby Ford,OAK,WR,23,16,9,0,0,0,0,0,10,155,15.5,2,54,25,470,18.8,2,3,2,7,,,87,125.5,133.5,113,,51,
142,Eddie Royal,DEN,WR,24,16,10,0,0,0,0,0,6,61,10.17,0,105,59,627,10.63,3,4,2,3,,,87,141.8,146.8,112.3,,50,
143,Jacob Tamme,IND,RB,25,16,8,0,0,0,0,0,0,0,,0,93,67,631,9.42,4,0,,4,,,87,154.1,157.1,120.6,,45,
144,Keiland Williams,WAS,RB,24,15,3,0,0,0,0,0,65,261,4.02,3,58,39,309,7.92,2,1,1,5,,,87,124,131,104.5,,46,
145,Mike Williams,SEA,WR,26,14,13,0,0,0,0,0,1,0,0,0,110,65,751,11.55,2,0,,2,,,87,152.1,155.1,119.6,,49,
146,Joseph Addai,IND,RB,27,8,7,0,0,0,0,0,116,495,4.27,4,26,19,124,6.53,0,2,1,4,,,86,102.9,109.9,93.4,,47,
147,Roy Williams,DAL,WR,29,15,9,0,0,0,0,0,0,0,,0,64,37,530,14.32,5,3,2,5,1,,85,118,123,99.5,,52,
148,Josh Morgan,SFO,WR,25,16,11,0,0,0,0,0,2,17,8.5,0,80,44,698,15.86,2,2,1,2,,,84,125.5,129.5,103.5,,53,
149,Kevin Boss,NYG,TE,26,15,13,0,0,0,0,0,0,0,,0,70,35,531,15.17,5,1,1,5,,,83,116.1,120.1,98.6,,15,
150,Steve Breaston,ARI,WR,27,13,11,1,2,17,0,0,3,35,11.67,0,87,47,718,15.28,1,0,,2,,,82,135,138,111.5,,54,
151,Donald Brown,IND,RB,23,13,8,0,0,0,0,0,129,497,3.85,2,28,20,205,10.25,0,0,,2,,,82,102.2,108.2,92.2,,48,
152,Lee Evans,BUF,WR,29,13,13,0,0,0,0,0,0,0,,0,84,37,578,15.62,4,2,1,4,,,82,116.8,120.8,98.3,,55,
153,Donald Driver,GNB,WR,35,15,15,0,0,0,0,0,0,0,,0,85,51,565,11.08,4,1,1,4,,,81,129.5,133.5,104,,56,
154,Maurice Morris,DET,RB,31,14,7,0,0,0,0,0,90,336,3.73,5,31,25,170,6.8,0,1,,5,,,81,105.6,111.6,93.1,,49,
155,Willis McGahee,BAL,RB,29,15,2,0,0,0,0,0,100,380,3.8,5,17,14,55,3.93,1,2,2,6,,,80,89.5,94.5,82.5,,50,
156,Ben Obomanu,SEA,WR,27,15,6,0,0,0,0,0,2,17,8.5,0,49,30,494,16.47,4,0,,4,2,,79,109.1,112.1,94.1,,57,
157,Brian Westbrook,SFO,RB,31,14,5,0,0,0,0,0,77,340,4.42,4,24,16,150,9.38,1,0,,5,,,79,95,101,87,,51,
158,Jordan Shipley,CIN,WR,25,15,4,0,0,0,0,0,0,0,,0,74,52,600,11.54,3,0,,3,,,78,130,133,104,,58,
159,Anthony Fasano,MIA,TE,26,15,15,0,0,0,0,0,0,0,,0,60,39,528,13.54,4,0,,4,,,77,115.8,118.8,96.3,,16,
160,Brandon Gibson,STL,WR,23,14,12,0,0,0,0,0,3,28,9.33,0,91,53,620,11.7,2,0,,2,,,77,129.8,132.8,103.3,,61,
161,Jacoby Jones,HOU,WR,26,15,7,0,0,0,0,0,2,7,3.5,0,78,51,562,11.02,3,1,,3,1,,77,127.9,130.9,102.4,,60,
162,Louis Murphy,OAK,WR,23,14,9,0,0,0,0,0,1,43,43,0,78,41,609,14.85,2,2,1,2,,,77,116.2,120.2,95.7,,59,
163,Troy Smith,SFO,QB,26,6,6,73,145,1176,5,4,23,121,5.26,1,0,0,0,,0,6,,1,,,77,77.1,87.1,81.1,,35,
164,Joel Dreessen,HOU,TE,28,16,10,0,0,0,0,0,0,0,,0,55,36,518,14.39,4,1,1,4,,,76,109.8,113.8,91.8,,17,
165,Earl Bennett,CHI,WR,23,14,3,0,0,0,0,0,2,9,4.5,0,71,46,561,12.2,3,1,,3,,,75,121,124,98,,62,
