Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
127,Antonio Bryant,SFO,WR,25,14,13,0,0,0,0,0,0,0,,0,91,40,733,18.33,3,0,,3,,,91,131.3,134.3,111.3,,45,
128,Jason Campbell,WAS,QB,25,7,7,110,207,1297,10,6,24,107,4.46,0,0,0,0,,0,1,,0,,,91,90.6,102.6,96.6,,33,
129,Arnaz Battle,SFO,WR,26,16,15,0,1,0,0,0,5,25,5,0,85,59,686,11.63,3,2,1,3,,,89,146.1,150.1,116.6,,46,
130,Reggie Williams,JAX,WR,23,16,14,0,0,0,0,0,7,33,4.71,0,91,52,616,11.85,4,1,,4,,,89,140.9,143.9,114.9,,47,
131,Matt Jones,JAX,WR,23,14,4,0,0,0,0,0,2,-15,-7.5,0,76,41,643,15.68,4,1,1,4,,,87,125.8,129.8,105.3,,49,
132,Derrick Mason,BAL,WR,32,16,15,0,0,0,0,0,1,-4,-4,0,112,68,750,11.03,2,1,,2,,,87,154.6,157.6,120.6,,50,
133,Nate Washington,PIT,WR,23,16,2,0,0,0,0,0,3,8,2.67,0,69,35,624,17.83,4,0,,4,,,87,122.2,125.2,104.7,,48,
134,Michael Jenkins,ATL,WR,24,16,16,0,0,0,0,0,1,2,2,0,83,39,436,11.18,7,0,,7,,,86,124.8,127.8,105.3,,51,
135,Jerious Norwood,ATL,RB,23,14,0,0,1,0,0,0,99,633,6.39,2,15,12,102,8.5,0,0,,2,,,86,97.5,103.5,91.5,,42,
136,D.J. Hackett,SEA,WR,25,14,5,0,0,0,0,0,0,0,,0,66,45,610,13.56,4,0,,4,,,85,130,133,107.5,,52,
137,Vincent Jackson,SDG,WR,23,16,7,0,0,0,0,0,3,16,5.33,0,56,27,453,16.78,6,0,,6,1,,85,111.9,114.9,98.4,,53,
138,Travis Taylor,MIN,WR,28,16,16,0,0,0,0,0,1,5,5,0,87,57,651,11.42,3,2,2,3,,,84,136.6,141.6,108.1,,54,
139,Ben Watson,NWE,TE,26,13,13,0,0,0,0,0,0,0,,0,91,49,643,13.12,3,3,2,3,,,82,127.3,132.3,102.8,1,10,73
140,Randy McMichael,MIA,TE,27,16,16,0,0,0,0,0,0,0,,0,96,62,640,10.32,3,0,,3,,,82,144,147,113,1,11,74
141,Jason Witten*,DAL,TE,24,16,15,0,0,0,0,0,0,0,,0,90,64,754,11.78,1,0,,1,,,81,145.4,148.4,113.4,,12,77
142,Justin Fargas,OAK,RB,26,16,6,0,0,0,0,0,178,659,3.7,1,21,13,91,7,0,1,,1,,,81,94,97,87.5,,43,
143,Greg Jennings,GNB,WR,23,14,11,0,0,0,0,0,0,0,,0,104,45,632,14.04,3,1,,3,,,81,126.2,129.2,103.7,,55,
144,Byron Leftwich,JAX,QB,26,6,6,108,183,1159,7,5,25,41,1.64,2,0,0,0,,0,2,,2,,,80,80.5,88.5,85.5,,34,
145,Correll Buckhalter,PHI,RB,28,16,1,0,0,0,0,0,83,345,4.16,2,28,24,256,10.67,1,2,1,3,,,78,100.1,107.1,88.1,,44,
146,Ronald Curry,OAK,WR,27,16,4,0,2,0,0,1,1,4,4,0,89,62,727,11.73,1,0,,1,,,77,139.1,143.1,109.1,,56,
147,Patrick Crayton,DAL,WR,27,16,7,0,0,0,0,0,0,0,,0,48,36,516,14.33,4,1,,4,,,76,111.6,114.6,93.6,,57,
148,Kevan Barlow,NYJ,RB,27,12,3,0,0,0,0,0,131,370,2.82,6,10,7,21,3,0,1,,6,,,75,82.1,85.1,78.6,,45,
149,Wes Welker,MIA,WR,25,16,2,0,0,0,0,0,0,0,,0,100,67,687,10.25,1,3,1,1,,,75,139.7,143.7,106.2,,58,
150,Drew Bledsoe,DAL,QB,34,6,6,90,169,1164,7,8,8,28,3.5,2,0,0,0,,0,3,1,2,,,73,71.4,83.4,79.4,,35,
151,Randy Moss,OAK,WR,29,13,13,0,0,0,0,0,0,0,,0,96,42,553,13.17,3,0,,3,,,73,115.3,118.3,94.3,,59,
152,Kevin Curtis,STL,WR,28,16,1,0,0,0,0,0,4,4,1,0,57,40,479,11.98,4,1,1,4,,,72,110.3,114.3,90.3,,61,
153,Trent Green,KAN,QB,36,8,8,121,198,1342,7,9,19,59,3.11,0,0,0,0,,0,5,3,0,,1,72,65.6,80.6,74.6,,36,
154,Cedric Houston,NYJ,RB,24,8,1,0,0,0,0,0,113,374,3.31,5,8,7,43,6.14,0,0,,5,,,72,78.7,81.7,75.2,,46,
155,Antwaan Randle El,WAS,WR,27,16,16,2,3,88,1,0,19,118,6.21,0,63,32,351,10.97,3,2,1,4,,,72,108.4,115.4,92.4,,60,
156,Mewelde Moore,MIN,RB,24,16,0,1,1,15,1,0,24,131,5.46,0,62,46,468,10.17,1,3,,2,,,71,122.5,128.5,99.5,,48,
157,Michael Pittman,TAM,RB,31,16,3,0,0,0,0,0,50,245,4.9,1,76,47,405,8.62,0,2,1,1,,,71,116,123,92.5,,47,
158,Heath Miller,PIT,TE,24,16,16,0,0,0,0,0,0,0,,0,55,34,393,11.56,5,0,,5,,,69,103.3,106.3,86.3,,13,
159,Rod Smith,DEN,WR,36,16,16,0,0,0,0,0,1,-5,-5,0,94,52,512,9.85,3,2,1,3,,,69,118.7,122.7,92.7,,62,
160,Kurt Warner,ARI,QB,35,6,5,108,168,1377,6,5,13,3,0.23,0,0,0,0,,0,10,3,0,,,69,63.4,74.4,68.4,,37,
161,Jay Cutler,DEN,QB,23,5,5,81,137,1001,9,5,12,18,1.5,0,0,0,0,,0,8,2,0,,,68,63.8,73.8,68.8,,38,
162,Kevin Faulk,NWE,RB,30,15,1,0,0,0,0,0,25,123,4.92,1,56,43,356,8.28,2,2,,3,,,68,108.9,114.9,87.4,,49,
163,Joe Jurevicius,CLE,WR,32,13,8,0,0,0,0,0,0,0,,0,65,40,495,12.38,3,0,,3,,,68,107.5,110.5,87.5,,64,
164,Eric Parker,SDG,WR,27,15,12,0,0,0,0,0,2,19,9.5,0,70,48,659,13.73,0,0,,0,,,68,115.8,118.8,91.8,,63,
165,Vernand Morency,2TM,RB,26,14,2,0,0,0,0,0,96,434,4.52,2,19,17,118,6.94,0,2,1,2,,,67,82.2,89.2,73.7,,50,
